pattern,translation,tags,parents,output
*/NP/*+ㄹ/JKO/*,~
*/VV/*+여/EC/*,~
*/VV/*+었/EP/*+다고/EC/*,said that ~ed
*/VV/*+다고/EC/*,said that ~
*/VV/*+다고/EF/*,said that ~
*/VA/*+다고/EC/*,said that ~
*/VA/*+다고/EF/*,said that ~
*/VA/*+ㄹ/ETM/*,will be ~
*/NR/*+시/NNBC/*+에/JKB/*,at ~ o'clock
*/NN/*+처럼/JKB/*,like a ~
*/NN/*+처럼/JKB/*+요/EF/*,like a ~.
*/NN/*+에서/JKB/*+처럼/JKB/*,like from ~
*/NN/*+이/JKC/*,~
*/VV/*+ㄴ다고/EC/*,said that ~
*/VA/*+ㄴ다고/EC/*,"said that ~ (note: root word incorrectly identified as adj by mecab)"
*/VV/*+는가/EF/*,~?
*/VV/*+겠/EP/*+는가/EF/*,(guessing; will) ~?
*/VV/*+까/EF/*,shall ~?
*/VV/*+ㄹ까요/EF/*,shall ~?
*/VA/*+ㄹ까요/EF/*,shall be ~?
*/VA/*+ㄹ까/EF/*,shall be ~?
*/VV/*+ㄹ까/EF/*+요/EF/*,shall ~?
*/VV/*+ㄹ까/EC/*,shall ~?
*/VV/*+ㄹ/ETM/*+까요/EF/*,shall ~?
*/VV/*+ㄴ다면/EC/*,what if ~?; suppose ~?
*/VV/*+ㄴ다면/EF/*,what if ~?; suppose ~?
*/VA/*+ㄴ다면/EC/*,what if ~?; suppose ~?
*/VV/*+ㄴ/ETM/*+다면/NNG/*,what if ~?; suppose ~?
*/NP/*+로/JKB/*,toward/using ~
*/NN/*+이나/JC/*,"~, or"
*/NN/*+이/VCP/*+라/EC/*,that is called ~
*/NP/*+이/VCP/*+라/EC/*,that is called ~
*/NN/*+이/VCP/*+ㄴ/ETM/*,being a ~
*/NP/*+이/VCP/*+ㄴ/ETM/*,being ~
*/VV/*+습니까/EF/*,~?
*/NN/*+하고/JC/*,~ and
*/NN/*+마다/JX/*,each ~; every ~
*/VV/*+었었/EP/*+는데/EC/*,"~ed (long ago), but..."
*/VV/*+었었/EP/*+고/EC/*,~ed (long ago) and...
*/VA/*+어/EC/*,~
*/NR/*+도/JX/*,~ also
*/NN/*+한테/JKB/*,to ~
*/NN/*+한테/JKB/*+만/JX/*,only to ~
*/NP/*+한테/JKB/*+만/JX/*,only to ~
*/VV/*+였/EP/*+다/EF/*,~ed
*/VV/*+고/EC/*,~ and
*/VA/*+지만/EC/*,"~, but..."
*/VA/*+었/EP/*+다/EF/*,was ~
*/VV/*+었/EP/*+기/ETN/*,having ~ed
*/VV/*+었/EP/*+고/EC/*,"~ed, and"
*/VV/*+다가/EC/*,while ~ing
*/VV/*+다가/EC/*+도/JX/*,even while ~ing; also while ~ing
*/VV/*+어다가/EC/*,"~, and then...",,-어다가
*/VV/*+어다/EC/*,"~, and then...",,-어다
*/VV/*+다가/EC/*+요/EF/*,while ~ing
*/VV/*+는/ETM/*+데/NNB/*,"~, but..."
*/VA/*+ㄴ/ETM/*+데/NNB/*,"~, but..."
*/VA/*+나요/EF/*,~?
*/VV/*+었/EP/*+면/EC/*,if/when ~ed
*/VV/*+려면/EC/*,(abbrev: -려고 하면) in order to ~; if (one) intends to ~
*/VA/*+려면/EC/*,(abbrev: -려고 하면) in order to be ~; if (one) intends to be ~
*/VV/*+겠/EP/*+죠/EF/*,"(guessing; will) ~, right?"
*/VV/*+겠/EP/*+네요/EF/*,"(guessing; will) ~!"
*/VA/*+겠/EP/*+네/EF/*,"(guessing; will) be ~!"
*/VV/*+ㅕ/EF/*,~
*/VA/*+었/EP/*+어요/EF/*,was ~
*/VA/*+니/EF/*,~?
*/NP/*+요/EF/*,~
*/NN/*+이/VCP/*+ㅂ니까/EF/*,is ~?
*/VV/*+었/EP/*+던/ETM/*,used to ~
*/VV/*+었었/EP/*+던/ETM/*,used to ~ (long ago)
*/VA/*+었었/EP/*+던/ETM/*,used to be ~ (long ago)
*/VV/*+어도/EC/*,"~ also; even if ~, still..."
*/VA/*+어도/EC/*,"~ also; even if ~, still..."
*/VV/*+며/EC/*,while ~
*/VA/*+며/EC/*,while ~
*/VV/*+는지/EC/*,[indirect question] if ~?
*/VA/*+는지/EC/*+도/JX/*,[indirect question] if also ~?; if even ~?
*/VV/*+겠/EP/*+다고/EC/*,"(said that) will ~, about to ~"
*/VA/*+었/EP/*+던/ETM/*,used to be ~
*/VA/*+ㅂ니까/EF/*,~?
*/NN/*+이/VCP/*+었/EP/*+다/EF/*,was ~
*/NN/*+이/VCP/*+라서/EC/*,"(abbrev: -이라고 하서) said that is ~, so..."
*/NN/*+이/VCP/*+라서/EF/*,"(abbrev: -이라고 하서) because said that is ~"
*/NN/*+이/VCP/*+라는/ETM/*,that is called ~
*/NN/*+에/JKB/*+도/JX/*,at/to ~ also
*/VV/*+어/EC/*+었/EP/*+습니다/EF/*,~ed
*/VV/*+겠/EP/*+어요/EF/*,"will ~, about to ~"
*/VV/*+겠/EP/*+어/EF/*,"will ~, about to ~"
*/VA/*+어서/EC/*,"~, so..."
*/NP/*+이/VCP/*+ㅔ요/EF/*,is ~
*/NN/*+이/VCP/*+었/EP/*+어요/EF/*,was ~
*/NN/*+이/VCP/*+기/ETN/*,being ~
*/NN/*+이/VCP/*+ㄴ지/EC/*,[indirect question] is ~?
*/NP/*+이/VCP/*+ㄴ지/EC/*,[indirect question] is ~?
*/NP/*+이/VCP/*+ㄴ지/EF/*,[indirect question] is ~?
*/NN/*+이/VCP/*+ㄴ지/EC/*+도/JX/*,even/also [indirect question] is ~?
*/NN/*+이/VCP/*+ㄴ지/EF/*,is ~?
*/NN/*+에/JKB/*+만/JX/*,at/to ~ only
*/NN/*+에/JKB/*+ㄴ/JX/*,at/to ~
*/NP/*+에/JKB/*+ㄴ/JX/*,at/to ~
*/NN/*+만큼/JKB/*,like a ~; as much as ~; the amount of ~
*/NP/*+만큼/JKB/*,like a ~; as much as ~; the amount of ~
*/NN/*+만큼/JKB/*+이나/JX/*,"like a ~; as much as ~; the amount of ~, or..."
*/NN/*+이/VCP/*+ㄴ/ETM/*+만큼/NNB/*,as much as is ~; the amount that is ~
*/NN/*+가/JKC/*,~
*/VV/*+지/EF/*,~?
*/VV/*+었/EP/*+지만/EC/*,"~ed, but..."
*/VV/*+도/EC/*,~ also
*/VV/*+겠/EP/*+습니다/EF/*,"will ~, about to ~"
*/VA/*+은지/EC/*,[indirect question] is ~?
*/VA/*+었/EP/*+습니까/EF/*,was ~?
*/VA/*+겠/EP/*+습니까/EF/*,guessing; will be ~?
*/VA/*+ㄴ지/EC/*,[indirect question] is ~?
*/VA/*+ㄴ지/EF/*,[indirect question] is ~?
*/NN/*+이/VCP/*+었/EP/*+는지/EC/*,[indirect question] was ~?
*/NN/*+이/VCP/*+ㄹ/ETM/*,will be ~
*/NN/*+요/EF/*,~
*/NN/*+만/JX/*+요/EF/*,only ~
*/VV/*+지/EC/*+도/JX/*,not even ~
*/VV/*+기/ETN/*+이/VCP/*+라고/EC/*,said that is ~ing
*/VV/*+ㅕㅆ/EP/*+어요/EF/*,~ed
*/VV/*+ㄹ게요/EF/*,"will ~ ([ref](https://kgf.korninterlinereader.asia.ubc.ca/entry/6285e9870b20af306c90d022))"
*/VA/*+는데/EC/*,"~, but..."
*/VA/*+는데/EF/*,"~, but..."
*/VA/*+네요/EF/*,is ~!
*/VA/*+네요/EC/*,is ~!
*/VA/*+거나/EC/*,~ or
*/NP/*+이/VCP/*+ㄴ가/EC/*,is ~?
*/NP/*+이/VCP/*+ㅂ니까/EF/*,is ~?
*/NN/*+이/VCP/*+지만/EC/*,"is ~, but..."
*/NN/*+이/VCP/*+고/EC/*,"is ~, and..."
*/NN/*+나/JC/*,"~, or"
*/VV/*+자/EF/*,Let's ~; when ~
*/VV/*+자/EC/*,Let's ~; when ~
*/VA/*+자/EF/*,Let's ~; when ~
*/VA/*+자/EC/*,Let's ~; when ~
*/VV/*+었었/EP/*+습니다/EF/*,~ed (long ago)
*/VV/*+었/EP/*+며/EC/*,while ~ed
*/VA/*+었/EP/*+며/EC/*,while was ~
